length,width,height,sex
93,74,37,Macho
94,78,35,Macho
96,80,35,Macho
101,84,39,Macho
102,85,38,Macho
103,81,37,Macho
104,83,39,Macho
106,83,39,Macho
107,82,38,Macho
112,89,40,Macho
113,88,40,Macho
114,86,40,Macho
116,90,43,Macho
117,90,41,Macho
117,91,41,Macho
119,93,41,Macho
120,89,40,Macho
120,93,44,Macho
121,95,42,Macho
125,93,45,Macho
127,96,45,Macho
128,95,45,Macho
131,95,46,Macho
135,106,47,Macho
98,81,38,Fêmea
103,84,38,Fêmea
103,86,42,Fêmea
105,86,40,Fêmea
109,88,44,Fêmea
123,92,50,Fêmea
123,95,46,Fêmea
133,99,51,Fêmea
133,102,51,Fêmea
133,102,51,Fêmea
134,100,48,Fêmea
136,102,49,Fêmea
137,98,51,Fêmea
138,99,51,Fêmea
141,105,53,Fêmea
147,108,57,Fêmea
149,107,55,Fêmea
153,107,56,Fêmea
155,115,63,Fêmea
155,117,60,Fêmea
158,115,62,Fêmea
159,118,63,Fêmea
162,124,61,Fêmea
177,132,67,Fêmea
